dataset,method,feature,real_score,null_p95,empirical_p_value,above_null_p95,n_permutations
madelon,mutual_info,feat_475,0.023347561073659984,0.0027307720943594233,0.047619047619047616,True,20
olive_oil_3class,f_classif,palmitoleic,175.9682855804314,3.80147663813725,0.047619047619047616,True,20
olive_oil_3class,f_classif,stearic,148.45818802526765,3.291734589187324,0.047619047619047616,True,20
olive_oil_3class,f_classif,oleic,0.1325069192331443,2.0437090664003232,0.9523809523809523,False,20
olive_oil_3class,f_classif,linoleic,240.87348702912428,2.9454406977724092,0.047619047619047616,True,20
olive_oil_3class,f_classif,linolenic,177.29849317760792,2.131126552090882,0.047619047619047616,True,20
olive_oil_3class,f_classif,arachidic,93.56945797481043,2.8304384031115313,0.047619047619047616,True,20
olive_oil_3class,f_classif,eicosenoic,83.09820186454473,2.1931871899213733,0.047619047619047616,True,20
olive_oil_3class,f_classif,other,757.4912293532601,2.057206587873712,0.047619047619047616,True,20
olive_oil_3class,mutual_info,palmitoleic,0.3064703284564863,0.015743638302389368,0.047619047619047616,True,20
olive_oil_3class,mutual_info,stearic,0.35514975185408637,0.020882524111236558,0.047619047619047616,True,20
olive_oil_3class,mutual_info,oleic,0.06797043207625204,0.020493672342442988,0.047619047619047616,True,20
olive_oil_3class,mutual_info,linoleic,0.41351295882282507,0.01788059625507531,0.047619047619047616,True,20
olive_oil_3class,mutual_info,linolenic,0.3340493832452551,0.015353626664986134,0.047619047619047616,True,20
olive_oil_3class,mutual_info,arachidic,0.2839419851666916,0.01798230132513823,0.047619047619047616,True,20
olive_oil_3class,mutual_info,eicosenoic,0.2473461177748023,0.02117321550694822,0.047619047619047616,True,20
olive_oil_3class,mutual_info,other,0.6189080816569663,0.01747437485344764,0.047619047619047616,True,20
olive_oil_9class,f_classif,palmitoleic,124.89180636169499,2.0204809383320277,0.047619047619047616,True,20
olive_oil_9class,f_classif,stearic,166.65275629847937,1.9100321493056163,0.047619047619047616,True,20
olive_oil_9class,f_classif,oleic,30.77178270741913,1.5457729085696237,0.047619047619047616,True,20
olive_oil_9class,f_classif,linoleic,243.8873164415498,1.681271360961853,0.047619047619047616,True,20
olive_oil_9class,f_classif,linolenic,273.0220167817817,1.5661653349702986,0.047619047619047616,True,20
olive_oil_9class,f_classif,arachidic,82.21459019853043,2.1804379161747924,0.047619047619047616,True,20
olive_oil_9class,f_classif,eicosenoic,103.7793493387404,1.9765783823964354,0.047619047619047616,True,20
olive_oil_9class,f_classif,other,325.17996409917197,1.949296574071775,0.047619047619047616,True,20
olive_oil_9class,mutual_info,palmitoleic,0.5992593281911378,0.05527478270943185,0.047619047619047616,True,20
olive_oil_9class,mutual_info,stearic,0.6795068635793846,0.05783733356611262,0.047619047619047616,True,20
olive_oil_9class,mutual_info,oleic,0.3042958940352156,0.05625837720554309,0.047619047619047616,True,20
olive_oil_9class,mutual_info,linoleic,0.7636327514429654,0.05761660921720616,0.047619047619047616,True,20
olive_oil_9class,mutual_info,linolenic,0.8672053603300772,0.060259285169422264,0.047619047619047616,True,20
olive_oil_9class,mutual_info,arachidic,0.5366863826267818,0.05708106085380764,0.047619047619047616,True,20
olive_oil_9class,mutual_info,eicosenoic,0.4824147845197226,0.06252357773700136,0.047619047619047616,True,20
olive_oil_9class,mutual_info,other,0.777344521491776,0.06489254113855863,0.047619047619047616,True,20
