dataset,variable,score_raw,score_processed,delta_abs,spearman_raw,spearman_processed,delta_spearman_abs,mutual_info_raw,mutual_info_processed,delta_mi_abs,ranking_raw,ranking_processed,delta_ranking
breast_cancer_wisconsin,concavity_se,0.29391108910640373,0.29388892890785734,2.2160198546394838e-05,0.4703381344990796,0.4703381344990796,0.0,0.11748404371372789,0.1174397233166351,4.4320397092789676e-05,18,18,0
breast_cancer_wisconsin,concavity_worst,0.5108607497171054,0.5104967025165028,0.00036404720060256857,0.7057340103846973,0.7057340103846973,0.0,0.31598748904951335,0.31525939464830843,0.0007280944012049151,11,11,0
breast_cancer_wisconsin,fractal_dimension_mean,0.016305440282577036,0.015895471419181087,0.0004099688633959486,0.025902934814889065,0.025902934814889065,0.0,0.00670794575026501,0.0058880080234731125,0.0008199377267918972,30,29,-1
breast_cancer_wisconsin,fractal_dimension_se,0.12013266470188584,0.12036350689230631,0.00023084219042046605,0.20149167570094165,0.20149167570094165,0.0,0.038773653702830035,0.03923533808367097,0.0004616843808409321,26,26,0
breast_cancer_wisconsin,fractal_dimension_worst,0.1893019551908311,0.18825903184781984,0.0010429233430112594,0.311476758890615,0.311476758890615,0.0,0.0671271514910472,0.06504130480502468,0.002085846686022519,25,25,0
breast_cancer_wisconsin,perimeter_mean,0.5763361528886899,0.5754284108455621,0.0009077420431278238,0.7484960094161621,0.7484960094161621,0.0,0.40417629636121766,0.402360812274962,0.0018154840862556476,6,6,0
breast_cancer_wisconsin,perimeter_se,0.453105970493631,0.45301277136704,9.319912659100371e-05,0.6304113280281167,0.6304113280281167,0.0,0.27580061295914526,0.27561421470596326,0.00018639825318200742,12,12,0
breast_cancer_wisconsin,perimeter_worst,0.6368105720610027,0.6340804442266366,0.002730127834366103,0.7963185971607477,0.7963185971607477,0.0,0.47730254696125773,0.4718422912925253,0.005460255668732428,1,1,0
breast_cancer_wisconsin,radius_mean,0.5496526104148889,0.547530377894951,0.0021222325199379277,0.7327849896210553,0.7327849896210553,0.0,0.36652023120872235,0.3622757661688467,0.004244465039875633,8,8,0
breast_cancer_wisconsin,radius_se,0.4332273560302328,0.43310647887686043,0.00012087715337238958,0.6169120556579272,0.6169120556579272,0.0,0.24954265640253848,0.2493009020957937,0.00024175430674477916,13,13,0
breast_cancer_wisconsin,radius_worst,0.6216652754327835,0.6195814949402643,0.002083780492519227,0.7879329568959095,0.7879329568959095,0.0,0.4553975939696575,0.45123003298461906,0.004167560985038454,3,3,0
breast_cancer_wisconsin,smoothness_mean,0.22778356056171575,0.2258158226562473,0.0019677379054684474,0.37189185393161533,0.37189185393161533,0.0,0.08367526719181617,0.07973979138087928,0.003935475810936895,22,23,1
breast_cancer_wisconsin,smoothness_se,0.03372789792536102,0.0339222082212427,0.00019431029588168336,0.05219309189048605,0.05219309189048605,0.0,0.01526270396023599,0.015651324551999357,0.0003886205917633667,29,28,-1
breast_cancer_wisconsin,smoothness_worst,0.26314277998009356,0.2606050809535126,0.002537699026580964,0.4255130852280161,0.4255130852280161,0.0,0.10077247473217099,0.09569707667900906,0.005075398053161928,20,20,0
breast_cancer_wisconsin,symmetry_mean,0.19727945586908643,0.19914405496286222,0.0018645990937757873,0.3325674212195175,0.3325674212195175,0.0,0.06199149051865538,0.06572068870620695,0.0037291981875515745,24,24,0
breast_cancer_wisconsin,symmetry_se,0.05228913621356518,0.05325961174467336,0.0009704755311081836,0.09230343079467163,0.09230343079467163,0.0,0.012274841632458733,0.0142157926946751,0.0019409510622163673,28,27,-1
breast_cancer_wisconsin,symmetry_worst,0.24793203530499378,0.24613873853146853,0.0017932967735252436,0.3968427049401431,0.3968427049401431,0.0,0.09902136566984443,0.09543477212279394,0.0035865935470504873,21,21,0
breast_cancer_wisconsin,texture_mean,0.27736542590106006,0.2792552283823555,0.001889802481295444,0.4619709203699609,0.4619709203699609,0.0,0.09275993143215921,0.0965395363947501,0.003779604962590888,19,19,0
breast_cancer_wisconsin,texture_se,0.010444116775875879,0.009709447738859745,0.0007346690370161335,0.01941889547771949,0.01941889547771949,0.0,0.001469338074032267,0.0,0.001469338074032267,31,30,-1
breast_cancer_wisconsin,texture_worst,0.2992014917723088,0.2985257006810018,0.0006757910913069987,0.47672008390934373,0.47672008390934373,0.0,0.1216828996352739,0.1203313174526599,0.0013515821826139973,17,17,0
customer_churn,age,0.16404203739850537,0.16412999330564376,8.795590713839285e-05,0.20438494947285257,0.20438494947285257,0.0,0.12369912532415817,0.12387503713843495,0.0001759118142767857,5,4,-1
customer_churn,last_interaction,0.07862830998272655,0.08364454790525391,0.005016237922527367,0.1478510067092758,0.1478510067092758,0.0,0.009405613256177281,0.019438089101232014,0.010032475845054734,6,5,-1
customer_churn,payment_delay,0.20549305256060624,0.20693212253024362,0.0014390699696373854,0.28343487998269135,0.28343487998269135,0.0,0.12755122513852113,0.1304293650777959,0.002878139939274771,4,3,-1
customer_churn,support_calls,0.3960259159177593,0.3954080703776473,0.0006178455401120164,0.5520580172175934,0.5520580172175934,0.0,0.23999381461792524,0.2387581235377012,0.0012356910802240328,3,2,-1
customer_churn,tenure,0.02796103705667758,0.026464594897757272,0.001496442158920308,0.052929189795514545,0.052929189795514545,0.0,0.002992884317840616,0.0,0.002992884317840616,7,6,-1
customer_churn,total_spend,0.4012043125986213,0.40084243277343856,0.00036187982518276485,0.4080478670395212,0.4080478670395212,0.0,0.39436075815772154,0.393636998507356,0.0007237596503655297,2,1,-1
customer_churn,usage_frequency,0.024786867597800567,0.023382147870162785,0.001404719727637782,0.04436172896986144,0.04436172896986144,0.0,0.005212006225739696,0.002402566770464132,0.002809439455275564,8,7,-1
madelon,feat_0,0.013154780045897855,0.013154780045897855,0.0,0.005653818422086193,0.005653818422086193,0.0,0.020655741669709515,0.020655741669709515,0.0,187,187,0
madelon,feat_1,0.010959401427461019,0.010959401427461019,0.0,0.020846490828007103,0.020846490828007103,0.0,0.0010723120269149344,0.0010723120269149344,0.0,249,249,0
madelon,feat_10,0.027396934878553134,0.027396934878553134,0.0,0.05479386975710627,0.05479386975710627,0.0,0.0,0.0,0.0,29,29,0
madelon,feat_100,0.003313389840804208,0.003313389840804208,0.0,0.006626779681608416,0.006626779681608416,0.0,0.0,0.0,0.0,436,436,0
madelon,feat_101,0.009420285993606758,0.009420285993606758,0.0,0.0008717944160387513,0.0008717944160387513,0.0,0.017968777571174765,0.017968777571174765,0.0,288,288,0
madelon,feat_102,0.006003284987146872,0.006003284987146872,0.0,0.0031430470233697817,0.0031430470233697817,0.0,0.008863522950923963,0.008863522950923963,0.0,374,374,0
madelon,feat_103,0.009170795577968235,0.009170795577968235,0.0,0.016918686951591037,0.016918686951591037,0.0,0.001422904204345432,0.001422904204345432,0.0,291,291,0
madelon,feat_104,0.007762108057295063,0.007762108057295063,0.0,0.015524216114590126,0.015524216114590126,0.0,0.0,0.0,0.0,336,336,0
madelon,feat_105,0.07716757668789226,0.07716757668789226,0.0,0.13173599238989675,0.13173599238989675,0.0,0.022599160985887767,0.022599160985887767,0.0,6,6,0
