dataset,variable,test,estadistico,p_valor,nombre_tamano_efecto,tamano_efecto,p_valor_fdr,abs_tamano_efecto
madelon,feat_54,mann_whitney_u,486875.0,0.3094244753033667,cliffs_delta,-0.026249999999999996,0.8555835390715378,0.026249999999999996
madelon,feat_55,mann_whitney_u,530142.0,0.01957279601097264,cliffs_delta,0.060284000000000004,0.40776658356192996,0.060284000000000004
madelon,feat_56,mann_whitney_u,474877.0,0.051708129812445165,cliffs_delta,-0.05024600000000001,0.6262926317816699,0.05024600000000001
madelon,feat_57,mann_whitney_u,505875.0,0.6491481691016894,cliffs_delta,0.011749999999999927,0.9625947878907039,0.011749999999999927
madelon,feat_58,mann_whitney_u,495384.0,0.7207643993681405,cliffs_delta,-0.009232000000000018,0.9747314679667839,0.009232000000000018
madelon,feat_59,mann_whitney_u,498024.0,0.8783982318950722,cliffs_delta,-0.0039519999999999555,0.9892559638382958,0.0039519999999999555
madelon,feat_60,mann_whitney_u,513941.0,0.2802729885044398,cliffs_delta,0.027881999999999962,0.8503134062099417,0.027881999999999962
madelon,feat_61,mann_whitney_u,478753.5,0.09952679140516586,cliffs_delta,-0.042493,0.6891507283154651,0.042493
madelon,feat_62,mann_whitney_u,500289.0,0.9821747810333753,cliffs_delta,0.0005779999999999674,0.9968156612122101,0.0005779999999999674
madelon,feat_63,mann_whitney_u,501547.5,0.9045365279749211,cliffs_delta,0.00309500000000007,0.9937430199696192,0.00309500000000007
madelon,feat_64,mann_whitney_u,595609.5,1.3209262444508393e-13,cliffs_delta,0.19121900000000003,1.6511578055635492e-11,0.19121900000000003
madelon,feat_65,mann_whitney_u,510488.5,0.416660719175022,cliffs_delta,0.020977000000000023,0.883430369880133,0.020977000000000023
madelon,feat_66,mann_whitney_u,511379.5,0.3781933764323735,cliffs_delta,0.022758999999999974,0.8795194800752872,0.022758999999999974
madelon,feat_67,mann_whitney_u,494823.0,0.6884815805425761,cliffs_delta,-0.010353999999999974,0.9625947878907039,0.010353999999999974
madelon,feat_68,mann_whitney_u,514235.0,0.269553261523764,cliffs_delta,0.028469999999999995,0.8473921144144629,0.028469999999999995
madelon,feat_69,mann_whitney_u,495090.0,0.7035137581296402,cliffs_delta,-0.009820000000000051,0.9663650523758794,0.009820000000000051
madelon,feat_70,mann_whitney_u,499609.0,0.9758745842589268,cliffs_delta,-0.0007819999999999494,0.9968156612122101,0.0007819999999999494
madelon,feat_71,mann_whitney_u,505203.5,0.6869322561403143,cliffs_delta,0.010407000000000055,0.9625947878907039,0.010407000000000055
madelon,feat_72,mann_whitney_u,513083.5,0.3109429990990147,cliffs_delta,0.02616700000000005,0.8555835390715378,0.02616700000000005
madelon,feat_73,mann_whitney_u,479541.0,0.11310789984085029,cliffs_delta,-0.04091800000000001,0.6899586025265775,0.04091800000000001
madelon,feat_74,mann_whitney_u,483404.0,0.1982551918956983,cliffs_delta,-0.033192,0.8281243676388673,0.033192
madelon,feat_75,mann_whitney_u,488888.0,0.3895104878720361,cliffs_delta,-0.02222400000000002,0.883430369880133,0.02222400000000002
madelon,feat_76,mann_whitney_u,499191.5,0.9500834455940191,cliffs_delta,-0.0016169999999999796,0.9968156612122101,0.0016169999999999796
madelon,feat_77,mann_whitney_u,496075.5,0.7612036918773846,cliffs_delta,-0.007848999999999995,0.9813154257130317,0.007848999999999995
madelon,feat_78,mann_whitney_u,496552.5,0.789509996452688,cliffs_delta,-0.0068949999999999845,0.9864300955398513,0.0068949999999999845
madelon,feat_79,mann_whitney_u,510016.0,0.437924593077647,cliffs_delta,0.02003200000000005,0.883430369880133,0.02003200000000005
madelon,feat_80,mann_whitney_u,503678.5,0.775760114555843,cliffs_delta,0.007357000000000058,0.9819748285517002,0.007357000000000058
madelon,feat_81,mann_whitney_u,499943.0,0.9965088488425737,cliffs_delta,-0.00011399999999994748,0.9968156612122101,0.00011399999999994748
madelon,feat_82,mann_whitney_u,502651.5,0.8373326163225954,cliffs_delta,0.005303000000000058,0.9864300955398513,0.005303000000000058
madelon,feat_83,mann_whitney_u,490137.5,0.4448957702606363,cliffs_delta,-0.019724999999999993,0.883430369880133,0.019724999999999993
madelon,feat_84,mann_whitney_u,490275.0,0.45139318685862906,cliffs_delta,-0.019449999999999967,0.883430369880133,0.019449999999999967
madelon,feat_85,mann_whitney_u,524302.5,0.059829519519170135,cliffs_delta,0.04860500000000001,0.6330069832428905,0.04860500000000001
madelon,feat_86,mann_whitney_u,499849.5,0.9907147166933887,cliffs_delta,-0.0003009999999999957,0.9968156612122101,0.0003009999999999957
madelon,feat_87,mann_whitney_u,513696.0,0.28882034565136405,cliffs_delta,0.027392000000000083,0.8544980640572901,0.027392000000000083
madelon,feat_88,mann_whitney_u,519344.0,0.1336268289972943,cliffs_delta,0.038688000000000056,0.7563051074792566,0.038688000000000056
madelon,feat_89,mann_whitney_u,489492.5,0.4158224900736758,cliffs_delta,-0.021015000000000006,0.883430369880133,0.021015000000000006
madelon,feat_90,mann_whitney_u,491859.5,0.4518468358185417,cliffs_delta,-0.01628099999999999,0.883430369880133,0.01628099999999999
madelon,feat_91,mann_whitney_u,512796.5,0.32169941069089825,cliffs_delta,0.025592999999999977,0.8555835390715378,0.025592999999999977
madelon,feat_92,mann_whitney_u,494670.0,0.6797774539158525,cliffs_delta,-0.010660000000000003,0.9625947878907039,0.010660000000000003
madelon,feat_93,mann_whitney_u,502792.5,0.8287971339542743,cliffs_delta,0.005584999999999951,0.9864300955398513,0.005584999999999951
madelon,feat_94,mann_whitney_u,512800.5,0.3212001540432877,cliffs_delta,0.025600999999999985,0.8555835390715378,0.025600999999999985
madelon,feat_95,mann_whitney_u,491493.0,0.5100381617287463,cliffs_delta,-0.017013999999999974,0.9013540956519265,0.017013999999999974
madelon,feat_96,mann_whitney_u,498627.0,0.9150665241566108,cliffs_delta,-0.002746000000000026,0.9968156612122101,0.002746000000000026
madelon,feat_97,mann_whitney_u,497633.5,0.8546088945737376,cliffs_delta,-0.004732999999999987,0.9864300955398513,0.004732999999999987
madelon,feat_98,mann_whitney_u,511281.0,0.3822894811939813,cliffs_delta,0.02256199999999997,0.883430369880133,0.02256199999999997
madelon,feat_99,mann_whitney_u,496595.0,0.7920441959061166,cliffs_delta,-0.006809999999999983,0.9864300955398513,0.006809999999999983
madelon,feat_100,mann_whitney_u,503823.5,0.7670424104798427,cliffs_delta,0.007646999999999959,0.9813154257130317,0.007646999999999959
madelon,feat_101,mann_whitney_u,499497.0,0.9689387533518845,cliffs_delta,-0.0010059999999999514,0.9968156612122101,0.0010059999999999514
madelon,feat_102,mann_whitney_u,498187.5,0.8882748870051238,cliffs_delta,-0.0036249999999999893,0.9929264813815326,0.0036249999999999893
madelon,feat_103,mann_whitney_u,509765.5,0.4494101441211523,cliffs_delta,0.019530999999999965,0.883430369880133,0.019530999999999965
madelon,feat_104,mann_whitney_u,491037.5,0.4876497614546139,cliffs_delta,-0.01792499999999997,0.9013540956519265,0.01792499999999997
madelon,feat_105,mann_whitney_u,423942.5,3.864272210525319e-09,cliffs_delta,-0.152115,2.7601944360895136e-07,0.152115
madelon,feat_106,mann_whitney_u,500560.0,0.9654377658424348,cliffs_delta,0.0011200000000000099,0.9968156612122101,0.0011200000000000099
madelon,feat_107,mann_whitney_u,490199.5,0.4478809031332317,cliffs_delta,-0.01960099999999998,0.883430369880133,0.01960099999999998
madelon,feat_108,mann_whitney_u,490381.0,0.45633447847317743,cliffs_delta,-0.019237999999999977,0.883430369880133,0.019237999999999977
madelon,feat_109,mann_whitney_u,515885.5,0.2184211926050953,cliffs_delta,0.031770999999999994,0.8281243676388673,0.031770999999999994
madelon,feat_110,mann_whitney_u,506533.5,0.6128971985030995,cliffs_delta,0.01306699999999994,0.9507866208944817,0.01306699999999994
madelon,feat_111,mann_whitney_u,484475.0,0.22926265901882348,cliffs_delta,-0.031050000000000022,0.8281243676388673,0.031050000000000022
madelon,feat_112,mann_whitney_u,487404.0,0.3289694027459955,cliffs_delta,-0.025191999999999992,0.8611764469790458,0.025191999999999992
madelon,feat_113,mann_whitney_u,501828.5,0.8874169913145467,cliffs_delta,0.0036570000000000213,0.9929264813815326,0.0036570000000000213
madelon,feat_114,mann_whitney_u,484460.0,0.22880884098214582,cliffs_delta,-0.031079999999999997,0.8281243676388673,0.031079999999999997
madelon,feat_115,mann_whitney_u,503115.5,0.8093468402135702,cliffs_delta,0.006231000000000098,0.9864300955398513,0.006231000000000098
madelon,feat_116,mann_whitney_u,482287.5,0.17012415339949505,cliffs_delta,-0.03542500000000004,0.8179045836514185,0.03542500000000004
madelon,feat_117,mann_whitney_u,485794.5,0.27116547661262813,cliffs_delta,-0.028410999999999964,0.8473921144144629,0.028410999999999964
madelon,feat_118,mann_whitney_u,505001.0,0.6985582221729055,cliffs_delta,0.010002000000000066,0.9633622201506319,0.010002000000000066
madelon,feat_119,mann_whitney_u,474197.0,0.045680689844169384,cliffs_delta,-0.05160600000000004,0.6262926317816699,0.05160600000000004
madelon,feat_120,mann_whitney_u,477494.0,0.07824291177660266,cliffs_delta,-0.04501200000000005,0.6891507283154651,0.04501200000000005
madelon,feat_121,mann_whitney_u,482081.5,0.16522659503757953,cliffs_delta,-0.03583700000000001,0.8099342893998996,0.03583700000000001
madelon,feat_122,mann_whitney_u,492489.5,0.5606797709079263,cliffs_delta,-0.015020999999999951,0.922170675835405,0.015020999999999951
madelon,feat_123,mann_whitney_u,506910.5,0.5925594411399624,cliffs_delta,0.013821000000000083,0.9287765535109128,0.013821000000000083
madelon,feat_124,mann_whitney_u,494958.5,0.6962269040807514,cliffs_delta,-0.010082999999999953,0.9633622201506319,0.010082999999999953
madelon,feat_125,mann_whitney_u,514094.0,0.2750743704079518,cliffs_delta,0.028188000000000102,0.8491565830730745,0.028188000000000102
madelon,feat_126,mann_whitney_u,508908.0,0.4901911456113843,cliffs_delta,0.017816000000000054,0.9013540956519265,0.017816000000000054
madelon,feat_127,mann_whitney_u,521399.0,0.09746899772047417,cliffs_delta,0.04279799999999989,0.6891507283154651,0.04279799999999989
madelon,feat_128,mann_whitney_u,422537.0,1.9629566768143497e-09,cliffs_delta,-0.154926,1.6357972306786247e-07,0.154926
madelon,feat_129,mann_whitney_u,487039.5,0.3155400248032678,cliffs_delta,-0.025920999999999972,0.8555835390715378,0.025920999999999972
madelon,feat_130,mann_whitney_u,520553.5,0.1114429803434432,cliffs_delta,0.041107000000000005,0.6899586025265775,0.041107000000000005
madelon,feat_131,mann_whitney_u,507077.0,0.5836433310011431,cliffs_delta,0.014154,0.9264179857161,0.014154
madelon,feat_132,mann_whitney_u,507345.0,0.5694778434867022,cliffs_delta,0.014690000000000092,0.923057271959573,0.014690000000000092
madelon,feat_133,mann_whitney_u,499543.5,0.9717479001241663,cliffs_delta,-0.0009130000000000527,0.9968156612122101,0.0009130000000000527
madelon,feat_134,mann_whitney_u,487329.0,0.32645052221230997,cliffs_delta,-0.025341999999999976,0.8590803216113421,0.025341999999999976
madelon,feat_135,mann_whitney_u,497642.5,0.8551647211258813,cliffs_delta,-0.004715000000000025,0.9864300955398513,0.004715000000000025
madelon,feat_136,mann_whitney_u,468885.0,0.01597036256550181,cliffs_delta,-0.06223000000000001,0.35354111601541016,0.06223000000000001
madelon,feat_137,mann_whitney_u,471062.0,0.02501185467233579,cliffs_delta,-0.05787600000000004,0.4809972052372267,0.05787600000000004
madelon,feat_138,mann_whitney_u,510090.0,0.4341320523183635,cliffs_delta,0.020180000000000087,0.883430369880133,0.020180000000000087
madelon,feat_139,mann_whitney_u,515438.0,0.2317949907030593,cliffs_delta,0.030875999999999904,0.8281243676388673,0.030875999999999904
madelon,feat_140,mann_whitney_u,487152.5,0.3197475425828492,cliffs_delta,-0.025695000000000023,0.8555835390715378,0.025695000000000023
madelon,feat_141,mann_whitney_u,497593.5,0.8521871685270013,cliffs_delta,-0.004812999999999956,0.9864300955398513,0.004812999999999956
madelon,feat_142,mann_whitney_u,490682.5,0.47043208530495895,cliffs_delta,-0.018634999999999957,0.9013540956519265,0.018634999999999957
madelon,feat_143,mann_whitney_u,495275.5,0.7143346237760483,cliffs_delta,-0.00944900000000004,0.9732079342997932,0.00944900000000004
madelon,feat_144,mann_whitney_u,490790.0,0.47566167114051405,cliffs_delta,-0.018419999999999992,0.9013540956519265,0.018419999999999992
madelon,feat_145,mann_whitney_u,508677.0,0.5015934360755738,cliffs_delta,0.01735400000000009,0.9013540956519265,0.01735400000000009
madelon,feat_146,mann_whitney_u,521248.5,0.0987835904035123,cliffs_delta,0.04249700000000001,0.6891507283154651,0.04249700000000001
madelon,feat_147,mann_whitney_u,508610.5,0.5049070137778103,cliffs_delta,0.01722099999999993,0.9013540956519265,0.01722099999999993
madelon,feat_148,mann_whitney_u,503591.0,0.7805789858677799,cliffs_delta,0.007182000000000022,0.9855795276108331,0.007182000000000022
madelon,feat_149,mann_whitney_u,476625.0,0.07026651752846708,cliffs_delta,-0.04674999999999996,0.6756395916198757,0.04674999999999996
madelon,feat_150,mann_whitney_u,507292.0,0.5722955086149353,cliffs_delta,0.01458399999999993,0.923057271959573,0.01458399999999993
madelon,feat_151,mann_whitney_u,497693.0,0.8581941831196707,cliffs_delta,-0.004614000000000007,0.9864300955398513,0.004614000000000007
madelon,feat_152,mann_whitney_u,523375.0,0.07015078970461759,cliffs_delta,0.04675000000000007,0.6756395916198757,0.04675000000000007
madelon,feat_153,mann_whitney_u,521285.5,0.09928504736775329,cliffs_delta,0.042570999999999914,0.6891507283154651,0.042570999999999914
madelon,feat_154,mann_whitney_u,515629.0,0.2144802315862453,cliffs_delta,0.03125800000000001,0.8281243676388673,0.03125800000000001
madelon,feat_155,mann_whitney_u,514814.5,0.2512604074154591,cliffs_delta,0.029628999999999905,0.8281243676388673,0.029628999999999905
madelon,feat_156,mann_whitney_u,507147.0,0.5799287813011734,cliffs_delta,0.014294000000000029,0.9263602917243012,0.014294000000000029
