dataset,componente,varianza_explicada,varianza_acumulada,n_variables_pca,n_filas_pca
madelon,25,0.0038822496046939737,0.12451048756210181,500,2000
madelon,26,0.0038531118595420597,0.12836359942164388,500,2000
madelon,27,0.0038406649846319326,0.1322042644062758,500,2000
madelon,28,0.0038208598723888563,0.13602512427866467,500,2000
madelon,29,0.0037905382193928203,0.1398156624980575,500,2000
madelon,30,0.0037879966808473608,0.14360365917890486,500,2000
madelon,31,0.0037602833612340038,0.14736394254013885,500,2000
madelon,32,0.0037365863244584597,0.1511005288645973,500,2000
madelon,33,0.0037198918506174054,0.1548204207152147,500,2000
madelon,34,0.0037109339938247886,0.1585313547090395,500,2000
madelon,35,0.0036991094412961263,0.16223046415033562,500,2000
madelon,36,0.003679148236573539,0.16590961238690916,500,2000
madelon,37,0.0036607283346431086,0.16957034072155228,500,2000
madelon,38,0.0036576318584062694,0.17322797257995853,500,2000
madelon,39,0.0036447450549728293,0.17687271763493137,500,2000
madelon,40,0.0036309453284156176,0.180503662963347,500,2000
madelon,41,0.0036165247431772666,0.18412018770652427,500,2000
madelon,42,0.003603442495499502,0.1877236302020238,500,2000
madelon,43,0.0035864442067527623,0.19131007440877656,500,2000
madelon,44,0.0035785212054779136,0.19488859561425448,500,2000
madelon,45,0.0035660052738273377,0.1984546008880818,500,2000
madelon,46,0.003548742496633331,0.20200334338471515,500,2000
madelon,47,0.0035370401158696524,0.2055403835005848,500,2000
madelon,48,0.0035301228772859727,0.20907050637787075,500,2000
madelon,49,0.0035145975910477164,0.21258510396891847,500,2000
madelon,50,0.0034994543582045376,0.216084558327123,500,2000
madelon,51,0.003480931684122423,0.21956549001124542,500,2000
madelon,52,0.003471203845693881,0.2230366938569393,500,2000
madelon,53,0.003453915710834105,0.22649060956777342,500,2000
madelon,54,0.003441090865229086,0.2299317004330025,500,2000
madelon,55,0.0034345520498362567,0.23336625248283877,500,2000
madelon,56,0.0034290937500568966,0.23679534623289566,500,2000
madelon,57,0.0034116807851352596,0.24020702701803093,500,2000
madelon,58,0.003409251955133948,0.24361627897316487,500,2000
madelon,59,0.00338984075499979,0.24700611972816466,500,2000
madelon,60,0.0033847025545778626,0.2503908222827425,500,2000
madelon,61,0.0033711973018434754,0.253762019584586,500,2000
madelon,62,0.0033515824227920064,0.257113602007378,500,2000
madelon,63,0.003332488722751404,0.26044609073012936,500,2000
madelon,64,0.003319398969885445,0.2637654897000148,500,2000
madelon,65,0.0033088382707216844,0.2670743279707365,500,2000
madelon,66,0.003296329030598028,0.2703706570013345,500,2000
madelon,67,0.0032899247360031456,0.27366058173733765,500,2000
madelon,68,0.00327720264878922,0.2769377843861269,500,2000
