dataset,method,k,full_mean_abs_corr,selected_mean_abs_corr,full_max_abs_corr,selected_max_abs_corr,full_high_corr_pairs,selected_high_corr_pairs,n_selected_features
breast_cancer_wisconsin,variance,3,0.42017091628576547,0.7010132643510243,0.9995905249835275,0.750434896855578,31,0,3
breast_cancer_wisconsin,variance,5,0.42017091628576547,0.5875893101787562,0.9995905249835275,0.9445405377232405,31,1,5
breast_cancer_wisconsin,variance,10,0.42017091628576547,0.47725090214219446,0.9995905249835275,0.9995905249835275,31,5,10
breast_cancer_wisconsin,variance,15,0.42017091628576547,0.44039920216914097,0.9995905249835275,0.9995905249835275,31,7,15
breast_cancer_wisconsin,variance,20,0.42017091628576547,0.3986141184506649,0.9995905249835275,0.9995905249835275,31,10,20
breast_cancer_wisconsin,variance,30,0.42017091628576547,0.42017091628576547,0.9995905249835275,0.9995905249835275,31,31,30
customer_churn,f_classif,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,f_classif,4,0.07071162465945686,0.1561004272972699,1.0,0.21771714549674506,1,0,4
customer_churn,f_classif,5,0.07071162465945686,0.13027471326088422,1.0,0.21771714549674506,1,0,5
customer_churn,f_classif,10,0.07071162465945686,0.12219869336989908,1.0,1.0,1,1,10
customer_churn,f_classif,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
customer_churn,l1_logistic,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,l1_logistic,4,0.07071162465945686,0.1561004272972699,1.0,0.21771714549674506,1,0,4
customer_churn,l1_logistic,5,0.07071162465945686,0.12001920127937718,1.0,0.21771714549674506,1,0,5
customer_churn,l1_logistic,10,0.07071162465945686,0.08082097074224642,1.0,1.0,1,1,10
customer_churn,l1_logistic,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
customer_churn,linear_svm,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,linear_svm,4,0.07071162465945686,0.31281361347147496,1.0,0.6702245939852561,1,0,4
customer_churn,linear_svm,5,0.07071162465945686,0.23598767205423346,1.0,0.6702245939852561,1,0,5
customer_churn,linear_svm,10,0.07071162465945686,0.09115873887336683,1.0,0.6702245939852561,1,0,10
customer_churn,linear_svm,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
customer_churn,mrmr_approx,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,mrmr_approx,4,0.07071162465945686,0.12296611490105513,1.0,0.2001516227055019,1,0,4
customer_churn,mrmr_approx,5,0.07071162465945686,0.13027471326088422,1.0,0.21771714549674506,1,0,5
customer_churn,mrmr_approx,10,0.07071162465945686,0.049509615781349686,1.0,0.21771714549674506,1,0,10
customer_churn,mrmr_approx,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
customer_churn,mutual_info,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,mutual_info,4,0.07071162465945686,0.14816701017678155,1.0,0.21771714549674506,1,0,4
customer_churn,mutual_info,5,0.07071162465945686,0.13027471326088422,1.0,0.21771714549674506,1,0,5
customer_churn,mutual_info,10,0.07071162465945686,0.12219869336989911,1.0,1.0,1,1,10
customer_churn,mutual_info,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
customer_churn,random_forest,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,random_forest,4,0.07071162465945686,0.12296611490105512,1.0,0.2001516227055019,1,0,4
customer_churn,random_forest,5,0.07071162465945686,0.1302747132608842,1.0,0.21771714549674506,1,0,5
customer_churn,random_forest,10,0.07071162465945686,0.12219869336989908,1.0,1.0,1,1,10
customer_churn,random_forest,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
customer_churn,variance,1,0.07071162465945686,0.0,1.0,0.0,1,0,1
customer_churn,variance,4,0.07071162465945686,0.029081586463608793,1.0,0.06931064714594881,1,0,4
customer_churn,variance,5,0.07071162465945686,0.03812845508098165,1.0,0.10296625520994525,1,0,5
customer_churn,variance,10,0.07071162465945686,0.07043992261098427,1.0,1.0,1,1,10
customer_churn,variance,15,0.07071162465945686,0.07071162465945686,1.0,1.0,1,1,15
madelon,f_classif,5,0.021710417448080326,0.6694852497231395,0.9961024342799284,0.9957580428760863,12,2,5
madelon,f_classif,10,0.021710417448080326,0.4180066390896847,0.9961024342799284,0.9957580428760863,12,4,10
madelon,f_classif,15,0.021710417448080326,0.2843474960898014,0.9961024342799284,0.9961024342799284,12,6,15
madelon,f_classif,20,0.021710417448080326,0.1663338416088711,0.9961024342799284,0.9961024342799284,12,6,20
madelon,f_classif,22,0.021710417448080326,0.1413519070266553,0.9961024342799284,0.9961024342799284,12,6,22
madelon,f_classif,30,0.021710417448080326,0.08460404895347538,0.9961024342799284,0.9961024342799284,12,6,30
madelon,f_classif,50,0.021710417448080326,0.046259178805081555,0.9961024342799284,0.9961024342799284,12,6,50
madelon,l1_logistic,5,0.021710417448080326,0.025008287526274254,0.9961024342799284,0.04215432369312239,12,0,5
madelon,l1_logistic,10,0.021710417448080326,0.022227379700167336,0.9961024342799284,0.056845916016800335,12,0,10
madelon,l1_logistic,15,0.021710417448080326,0.022114993270374462,0.9961024342799284,0.07237190606984788,12,0,15
madelon,l1_logistic,20,0.021710417448080326,0.02067421783112681,0.9961024342799284,0.07237190606984788,12,0,20
madelon,l1_logistic,22,0.021710417448080326,0.020634912836817974,0.9961024342799284,0.07237190606984788,12,0,22
madelon,l1_logistic,30,0.021710417448080326,0.0228422919367273,0.9961024342799284,0.4631459834522151,12,0,30
