dataset,method,k,seed_a,seed_b,kuncheva
customer_churn,mrmr_approx,5,13,42,0.7
customer_churn,mrmr_approx,5,13,97,0.7
customer_churn,mrmr_approx,5,42,97,0.7
customer_churn,mrmr_approx,10,13,42,0.7
customer_churn,mrmr_approx,10,13,97,0.39999999999999997
customer_churn,mrmr_approx,10,42,97,0.7
customer_churn,mrmr_approx,15,13,42,
customer_churn,mrmr_approx,15,13,97,
customer_churn,mrmr_approx,15,42,97,
customer_churn,mutual_info,1,13,42,-0.07142857142857142
customer_churn,mutual_info,1,13,97,-0.07142857142857142
customer_churn,mutual_info,1,42,97,1.0
customer_churn,mutual_info,4,13,42,1.0
customer_churn,mutual_info,4,13,97,1.0
customer_churn,mutual_info,4,42,97,1.0
customer_churn,mutual_info,5,13,42,1.0
customer_churn,mutual_info,5,13,97,1.0
customer_churn,mutual_info,5,42,97,1.0
customer_churn,mutual_info,10,13,42,0.7
customer_churn,mutual_info,10,13,97,0.39999999999999997
customer_churn,mutual_info,10,42,97,0.7
customer_churn,mutual_info,15,13,42,
customer_churn,mutual_info,15,13,97,
customer_churn,mutual_info,15,42,97,
customer_churn,random_forest,1,13,42,1.0
customer_churn,random_forest,1,13,97,1.0
customer_churn,random_forest,1,42,97,1.0
customer_churn,random_forest,4,13,42,1.0
customer_churn,random_forest,4,13,97,1.0
customer_churn,random_forest,4,42,97,1.0
customer_churn,random_forest,5,13,42,1.0
customer_churn,random_forest,5,13,97,1.0
customer_churn,random_forest,5,42,97,1.0
customer_churn,random_forest,10,13,42,1.0
customer_churn,random_forest,10,13,97,1.0
customer_churn,random_forest,10,42,97,1.0
customer_churn,random_forest,15,13,42,
customer_churn,random_forest,15,13,97,
customer_churn,random_forest,15,42,97,
customer_churn,variance,1,13,42,1.0
customer_churn,variance,1,13,97,1.0
customer_churn,variance,1,42,97,1.0
customer_churn,variance,4,13,42,1.0
customer_churn,variance,4,13,97,1.0
customer_churn,variance,4,42,97,1.0
customer_churn,variance,5,13,42,1.0
customer_churn,variance,5,13,97,1.0
customer_churn,variance,5,42,97,1.0
customer_churn,variance,10,13,42,1.0
customer_churn,variance,10,13,97,1.0
customer_churn,variance,10,42,97,1.0
customer_churn,variance,15,13,42,
customer_churn,variance,15,13,97,
customer_churn,variance,15,42,97,
madelon,f_classif,5,13,42,1.0
madelon,f_classif,5,13,97,1.0
madelon,f_classif,5,42,97,1.0
madelon,f_classif,10,13,42,1.0
madelon,f_classif,10,13,97,1.0
madelon,f_classif,10,42,97,1.0
madelon,f_classif,15,13,42,1.0
madelon,f_classif,15,13,97,1.0
madelon,f_classif,15,42,97,1.0
madelon,f_classif,20,13,42,1.0
madelon,f_classif,20,13,97,1.0
madelon,f_classif,20,42,97,1.0
madelon,f_classif,22,13,42,1.0
madelon,f_classif,22,13,97,1.0
madelon,f_classif,22,42,97,1.0
madelon,f_classif,30,13,42,1.0
madelon,f_classif,30,13,97,1.0
madelon,f_classif,30,42,97,1.0
madelon,f_classif,50,13,42,1.0
madelon,f_classif,50,13,97,1.0
madelon,f_classif,50,42,97,1.0
madelon,l1_logistic,5,13,42,1.0
madelon,l1_logistic,5,13,97,1.0
madelon,l1_logistic,5,42,97,1.0
madelon,l1_logistic,10,13,42,1.0
madelon,l1_logistic,10,13,97,1.0
madelon,l1_logistic,10,42,97,1.0
madelon,l1_logistic,15,13,42,1.0
madelon,l1_logistic,15,13,97,1.0
madelon,l1_logistic,15,42,97,1.0
madelon,l1_logistic,20,13,42,1.0
madelon,l1_logistic,20,13,97,1.0
madelon,l1_logistic,20,42,97,1.0
madelon,l1_logistic,22,13,42,1.0
madelon,l1_logistic,22,13,97,1.0
madelon,l1_logistic,22,42,97,1.0
madelon,l1_logistic,30,13,42,1.0
madelon,l1_logistic,30,13,97,1.0
madelon,l1_logistic,30,42,97,1.0
madelon,l1_logistic,50,13,42,1.0
madelon,l1_logistic,50,13,97,1.0
madelon,l1_logistic,50,42,97,1.0
madelon,linear_svm,5,13,42,1.0
madelon,linear_svm,5,13,97,1.0
madelon,linear_svm,5,42,97,1.0
madelon,linear_svm,10,13,42,1.0
madelon,linear_svm,10,13,97,1.0
madelon,linear_svm,10,42,97,1.0
madelon,linear_svm,15,13,42,1.0
madelon,linear_svm,15,13,97,1.0
madelon,linear_svm,15,42,97,1.0
madelon,linear_svm,20,13,42,1.0
madelon,linear_svm,20,13,97,1.0
madelon,linear_svm,20,42,97,1.0
madelon,linear_svm,22,13,42,1.0
madelon,linear_svm,22,13,97,1.0
madelon,linear_svm,22,42,97,1.0
madelon,linear_svm,30,13,42,1.0
madelon,linear_svm,30,13,97,1.0
madelon,linear_svm,30,42,97,1.0
madelon,linear_svm,50,13,42,1.0
madelon,linear_svm,50,13,97,1.0
madelon,linear_svm,50,42,97,1.0
madelon,mrmr_approx,5,13,42,0.1919191919191919
madelon,mrmr_approx,5,13,97,0.1919191919191919
madelon,mrmr_approx,5,42,97,0.1919191919191919
madelon,mrmr_approx,10,13,42,0.08163265306122448
madelon,mrmr_approx,10,13,97,0.08163265306122448
madelon,mrmr_approx,10,42,97,0.2857142857142857
madelon,mrmr_approx,15,13,42,0.17525773195876287
madelon,mrmr_approx,15,13,97,0.10652920962199312
madelon,mrmr_approx,15,42,97,0.2439862542955326
madelon,mrmr_approx,20,13,42,0.11458333333333334
madelon,mrmr_approx,20,13,97,0.11458333333333334
madelon,mrmr_approx,20,42,97,0.21875000000000003
madelon,mrmr_approx,22,13,42,0.09661468238874096
madelon,mrmr_approx,22,13,97,0.09661468238874096
madelon,mrmr_approx,22,42,97,0.19170787371624193
madelon,mrmr_approx,30,13,42,0.11347517730496455
madelon,mrmr_approx,30,13,97,0.14893617021276598
madelon,mrmr_approx,30,42,97,0.1843971631205674
madelon,mrmr_approx,50,13,42,0.2
madelon,mrmr_approx,50,13,97,0.13333333333333333
madelon,mrmr_approx,50,42,97,0.13333333333333333
madelon,mutual_info,5,13,42,0.1919191919191919
madelon,mutual_info,5,13,97,0.1919191919191919
madelon,mutual_info,5,42,97,0.3939393939393939
madelon,mutual_info,10,13,42,0.18367346938775508
madelon,mutual_info,10,13,97,0.08163265306122448
madelon,mutual_info,10,42,97,0.2857142857142857
madelon,mutual_info,15,13,42,0.17525773195876287
madelon,mutual_info,15,13,97,0.03780068728522337
madelon,mutual_info,15,42,97,0.2439862542955326
madelon,mutual_info,20,13,42,0.16666666666666669
madelon,mutual_info,20,13,97,0.010416666666666664
madelon,mutual_info,20,42,97,0.16666666666666669
madelon,mutual_info,22,13,42,0.14416127805249143
madelon,mutual_info,22,13,97,0.049068086724990495
madelon,mutual_info,22,42,97,0.14416127805249143
madelon,mutual_info,30,13,42,0.2198581560283688
madelon,mutual_info,30,13,97,0.11347517730496455
madelon,mutual_info,30,42,97,0.14893617021276598
madelon,mutual_info,50,13,42,0.2222222222222222
madelon,mutual_info,50,13,97,0.13333333333333333
madelon,mutual_info,50,42,97,0.08888888888888889
