experiment_id,dataset,feature_set,model_name,feature,mean_abs_shap,rank,n_validation_explained,n_validation_available,raw_values_path,feature_values_path,shap_value_shape,output_labels
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,fractal_dimension_worst,0.3222477268849523,12,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,concavity_mean,0.3110027688991973,13,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,perimeter_worst,0.2952534795500156,14,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,symmetry_worst,0.21860860047883024,15,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,concavity_se,0.11621793179687064,16,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,perimeter_mean,0.04573343002720894,17,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,area_mean,0.018369520828823763,18,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,radius_mean,0.013094110760288049,19,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,smoothness_mean,0.01157599374936178,20,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,texture_mean,0.004005278268353525,21,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
