dataset,feature,mean_abs_shap
madelon,feat_2,0.020297591435362132
madelon,feat_288,0.020170526314607806
madelon,feat_421,0.01992271341268983
madelon,feat_200,0.01973044499687966
madelon,feat_222,0.019647746547653017
madelon,feat_79,0.019641165384231128
madelon,feat_125,0.019575652598435668
madelon,feat_119,0.01952710132250455
madelon,feat_30,0.019518540224840397
madelon,feat_81,0.019515960139955865
madelon,feat_363,0.019427175436504573
madelon,feat_352,0.019346745627538374
madelon,feat_331,0.019326344810527134
madelon,feat_359,0.019131097627081903
madelon,feat_307,0.01903416815152158
madelon,feat_47,0.01864333251964224
madelon,feat_400,0.01843205951000563
madelon,feat_496,0.018386510566532767
madelon,feat_412,0.017948859622432294
madelon,feat_38,0.017824848647363247
madelon,feat_255,0.017746288737682345
madelon,feat_49,0.017728985034318363
madelon,feat_17,0.017405778855690737
madelon,feat_440,0.01719998830567346
madelon,feat_35,0.0170182050419176
madelon,feat_490,0.01692494627470928
madelon,feat_457,0.016879254780376017
madelon,feat_27,0.01684379963695051
madelon,feat_420,0.016678860632797797
madelon,feat_248,0.01667842909841468
madelon,feat_184,0.016345623962868327
madelon,feat_405,0.016321078399012912
madelon,feat_50,0.01629193441219007
madelon,feat_45,0.016149576373159665
madelon,feat_302,0.01612886166926281
madelon,feat_134,0.01605828377455863
madelon,feat_382,0.015825333753763705
madelon,feat_366,0.015725403835116118
madelon,feat_426,0.01567038175943308
madelon,feat_77,0.015556378853242665
madelon,feat_178,0.015532645570184104
madelon,feat_342,0.015251279979443642
madelon,feat_176,0.015222469421262694
madelon,feat_22,0.015157549609162381
madelon,feat_78,0.015132737620551284
madelon,feat_303,0.015130946526166115
madelon,feat_413,0.015063703230178608
madelon,feat_231,0.015042807265099463
madelon,feat_32,0.014984640719912325
madelon,feat_146,0.014976710916353235
madelon,feat_185,0.014948512804038175
madelon,feat_203,0.014845298780050751
madelon,feat_399,0.01479928429662638
madelon,feat_483,0.014749714458567894
madelon,feat_111,0.01469211254124529
madelon,feat_112,0.014668507275687685
madelon,feat_6,0.014590699155950763
madelon,feat_212,0.014503965680250742
madelon,feat_389,0.014422219121832548
madelon,feat_194,0.014164978262060321
madelon,feat_109,0.014140363619849087
madelon,feat_192,0.014138757888949473
madelon,feat_170,0.014063557959138414
madelon,feat_261,0.01402639276760552
madelon,feat_381,0.013985544876787269
madelon,feat_62,0.013802731115687245
madelon,feat_172,0.013799601644642332
madelon,feat_284,0.013789768671818704
madelon,feat_291,0.013557817334984422
madelon,feat_25,0.013393819356659285
madelon,feat_498,0.013326525696370894
madelon,feat_346,0.013321979011440029
madelon,feat_409,0.013282887008312774
madelon,feat_455,0.013223650633695074
madelon,feat_12,0.013196335947661038
madelon,feat_121,0.013112215952582969
madelon,feat_13,0.013052371536843329
madelon,feat_88,0.012945892339712013
madelon,feat_253,0.012876792556707135
madelon,feat_290,0.01286258901134715
madelon,feat_118,0.01272062977027768
madelon,feat_437,0.012698969298401296
madelon,feat_408,0.012655377344775481
madelon,feat_129,0.012625144758175881
madelon,feat_83,0.012616885616011379
madelon,feat_299,0.012594454415584908
madelon,feat_287,0.01258423642785444
madelon,feat_76,0.012452234635160616
madelon,feat_91,0.012402283631787093
madelon,feat_120,0.012358381011199284
madelon,feat_235,0.012353409033024218
madelon,feat_450,0.012326762600293546
madelon,feat_263,0.01213930582958856
madelon,feat_337,0.012026654334622435
madelon,feat_435,0.012018583685596248
madelon,feat_492,0.011956125786935444
madelon,feat_82,0.011948464566934864
madelon,feat_454,0.011934425566372614
madelon,feat_164,0.011912533779791555
madelon,feat_425,0.011834265085061399
madelon,feat_197,0.011829249740915836
madelon,feat_103,0.01182593780776176
madelon,feat_56,0.011824393851934784
madelon,feat_147,0.011791237250472958
madelon,feat_182,0.011778151604529311
madelon,feat_15,0.011742493045031251
madelon,feat_108,0.011652312301211831
madelon,feat_145,0.011645268151757766
madelon,feat_180,0.011621926953369983
madelon,feat_428,0.011612550784841481
madelon,feat_380,0.011580098328553143
madelon,feat_209,0.011567500196529247
madelon,feat_326,0.011521572667926859
madelon,feat_9,0.01149896575278447
madelon,feat_229,0.01138248518800829
madelon,feat_246,0.011356816585131067
madelon,feat_385,0.011274846640842344
madelon,feat_477,0.011255873504013275
madelon,feat_122,0.011196514692545559
madelon,feat_418,0.011167829642900818
madelon,feat_144,0.011151386306242782
madelon,feat_169,0.011135276691068419
madelon,feat_327,0.011110531316914906
madelon,feat_471,0.011012825662277943
madelon,feat_63,0.010976601583386451
madelon,feat_370,0.010961406862345757
madelon,feat_271,0.010889501585326311
madelon,feat_388,0.010774021870320814
madelon,feat_236,0.010723925703890075
madelon,feat_391,0.010707375308987703
madelon,feat_407,0.010705722544544062
madelon,feat_97,0.01059500471814924
madelon,feat_141,0.010577817636398451
madelon,feat_245,0.010575211374306434
madelon,feat_398,0.010561518849750675
madelon,feat_95,0.010494509687138874
madelon,feat_444,0.010475868294733426
madelon,feat_311,0.010438902152319983
madelon,feat_135,0.010411345138225205
madelon,feat_293,0.010400946810018886
madelon,feat_43,0.010376995896968087
madelon,feat_266,0.010370429259329107
madelon,feat_3,0.010083268225476295
madelon,feat_130,0.010044789684263129
madelon,feat_107,0.010003181937468861
madelon,feat_275,0.009942738468774283
madelon,feat_67,0.00987601863983631
madelon,feat_494,0.009850701313130176
madelon,feat_485,0.00978219320087228
madelon,feat_86,0.009737430777629695
madelon,feat_356,0.009714211025725433
madelon,feat_127,0.009654859045792065
madelon,feat_131,0.00957732093831291
madelon,feat_157,0.009402817426311477
madelon,feat_92,0.009271095472224988
madelon,feat_179,0.009238905086857265
madelon,feat_459,0.00918329580499946
madelon,feat_58,0.009181899860543978
madelon,feat_29,0.009167547500455599
madelon,feat_364,0.00910632933052256
madelon,feat_339,0.009051984770413642
madelon,feat_439,0.008988892234497085
madelon,feat_376,0.008963005157420417
madelon,feat_360,0.008842607715557092
madelon,feat_188,0.008781311555998398
madelon,feat_495,0.008780730730966513
madelon,feat_292,0.00872956910370849
madelon,feat_415,0.008723306869567989
madelon,feat_397,0.008708921466247802
madelon,feat_237,0.008672668879589764
madelon,feat_463,0.008610023028310387
madelon,feat_351,0.00854111474298795
madelon,feat_89,0.008464504383531555
madelon,feat_432,0.008437504197773515
madelon,feat_354,0.008433487383819493
madelon,feat_1,0.008392165548666772
madelon,feat_74,0.008329852915370913
madelon,feat_254,0.00832771187343945
madelon,feat_37,0.008298541521203394
madelon,feat_183,0.008277594875474463
madelon,feat_257,0.008253113032504915
madelon,feat_115,0.008079933216794361
madelon,feat_72,0.00804946425761252
madelon,feat_99,0.00796341325999237
madelon,feat_238,0.007905746518531423
madelon,feat_269,0.007882712401321622
madelon,feat_217,0.00780996525353209
madelon,feat_422,0.007778063898389028
madelon,feat_316,0.00772228452832787
madelon,feat_476,0.007646899658197072
madelon,feat_233,0.007498228718992319
madelon,feat_470,0.0074915078349527845
madelon,feat_274,0.007373362614350245
madelon,feat_154,0.007303334120893849
madelon,feat_390,0.007278487131236278
madelon,feat_143,0.007210409987655777
madelon,feat_482,0.007204151575548654
madelon,feat_452,0.007201281728385946
madelon,feat_289,0.007199480734718957
madelon,feat_256,0.007196230281225871
madelon,feat_40,0.007174997835839158
madelon,feat_267,0.007172102236227742
madelon,feat_436,0.007114486261884058
madelon,feat_208,0.00709883160491009
madelon,feat_52,0.007085146498097068
madelon,feat_328,0.00707860454933446
madelon,feat_362,0.007071663309267017
madelon,feat_273,0.0070635862662243535
madelon,feat_148,0.007061015805959084
madelon,feat_305,0.0070235825235877855
madelon,feat_310,0.006991186530950173
madelon,feat_223,0.006948335112597368
madelon,feat_464,0.006905455452343456
madelon,feat_113,0.006903598584735297
madelon,feat_221,0.006883399495315585
madelon,feat_133,0.0068763786678047245
madelon,feat_373,0.006806263269264793
madelon,feat_215,0.0066937976546896025
madelon,feat_239,0.006681031669963467
madelon,feat_102,0.006646262045270607
madelon,feat_202,0.006638102038938086
madelon,feat_110,0.006636867560842074
madelon,feat_101,0.006632100731433222
madelon,feat_474,0.006598459205221539
madelon,feat_163,0.006425670540204736
madelon,feat_375,0.006358148585799304
madelon,feat_230,0.006332520891128421
madelon,feat_219,0.0062983530548556465
madelon,feat_206,0.006280637079403583
madelon,feat_300,0.006273265707671329
madelon,feat_61,0.0062703725461848115
madelon,feat_350,0.006268870879814495
madelon,feat_31,0.006117227771936452
madelon,feat_258,0.0060851114284091925
madelon,feat_150,0.006066495679004584
madelon,feat_186,0.006057488647076144
madelon,feat_484,0.006045490104487787
madelon,feat_80,0.006018650318987787
madelon,feat_466,0.006014730958017749
madelon,feat_272,0.005991924965498044
madelon,feat_270,0.005990598191514916
madelon,feat_279,0.005945965944909649
madelon,feat_396,0.005866268341937882
madelon,feat_23,0.005852347145252853
madelon,feat_394,0.005785293693103202
madelon,feat_213,0.005763963098870589
madelon,feat_240,0.0056591466819363
madelon,feat_198,0.005604889812747331
madelon,feat_8,0.005603236584474018
madelon,feat_190,0.0055876350073561015
madelon,feat_160,0.005473926776519508
madelon,feat_162,0.005463165673254596
madelon,feat_371,0.005427887143683618
madelon,feat_100,0.00541301884429219
madelon,feat_301,0.005378122824694344
madelon,feat_161,0.005351986986938086
madelon,feat_345,0.005308524554331476
madelon,feat_94,0.005306912196743843
madelon,feat_20,0.005297281465951043
madelon,feat_174,0.005187463432406849
madelon,feat_369,0.005020941258089925
madelon,feat_262,0.005017418076747947
madelon,feat_469,0.004981889330071865
madelon,feat_69,0.004943042527011132
madelon,feat_416,0.004840167075308274
madelon,feat_155,0.004825795873227372
madelon,feat_14,0.00472607016804395
madelon,feat_315,0.004697109440271743
madelon,feat_449,0.004670517824225437
madelon,feat_98,0.004605655719052692
madelon,feat_68,0.004543665406651167
madelon,feat_84,0.004506332989793739
madelon,feat_456,0.004432751173681269
madelon,feat_355,0.0044314135446446
madelon,feat_340,0.004420912538305857
madelon,feat_167,0.004225486249385476
madelon,feat_189,0.004208823227816414
madelon,feat_367,0.004207178751658648
madelon,feat_181,0.004133816645013088
madelon,feat_487,0.004100439064220213
madelon,feat_488,0.003987166392360811
madelon,feat_447,0.00393108027530058
madelon,feat_138,0.003927807676660211
madelon,feat_18,0.003925562942272522
madelon,feat_210,0.00374193427628683
madelon,feat_283,0.003699517425382511
madelon,feat_280,0.0035887796569964853
madelon,feat_460,0.0035676490315236144
madelon,feat_401,0.0033937549236230566
madelon,feat_357,0.0033017167761727854
madelon,feat_70,0.0032278683130202517
madelon,feat_249,0.0032099987436847483
madelon,feat_242,0.0031347023289495447
madelon,feat_252,0.003073870985303073
madelon,feat_214,0.002857084696375143
madelon,feat_392,0.0028355082406817636
madelon,feat_207,0.0027204822848162914
madelon,feat_0,0.0027057782211961836
madelon,feat_265,0.0026803802162564095
madelon,feat_124,0.002665202210028658
madelon,feat_387,0.002573033512507873
madelon,feat_404,0.0025353742598400834
madelon,feat_465,0.0024913545759394774
madelon,feat_225,0.002348887567268685
madelon,feat_93,0.002199387324376348
madelon,feat_195,0.002156971233470053
madelon,feat_429,0.002147728215243355
madelon,feat_166,0.00209111913295152
madelon,feat_321,0.0019978826658683803
madelon,feat_173,0.0019516683084696265
madelon,feat_461,0.0018081693439201134
madelon,feat_227,0.0017818128899515905
madelon,feat_324,0.0016764633744023802
madelon,feat_205,0.00157190451564966
madelon,feat_473,0.0011703372541659817
madelon,feat_427,0.0011469811311922964
madelon,feat_462,0.0011063862124302728
madelon,feat_319,0.0005529164303094132
madelon,feat_320,0.0005406758288542428
madelon,feat_228,0.0
madelon,feat_247,0.0
madelon,feat_276,0.0
madelon,feat_312,0.0
madelon,feat_325,0.0
madelon,feat_332,0.0
madelon,feat_353,0.0
madelon,feat_39,0.0
madelon,feat_402,0.0
madelon,feat_423,0.0
madelon,feat_7,0.0
madelon,feat_75,0.0
madelon,feat_90,0.0
madelon,feat_96,0.0
olive_oil_3class,other,1.4454059553277905
olive_oil_3class,linolenic,0.9002209436392214
olive_oil_3class,linoleic,0.6541215730547264
olive_oil_3class,stearic,0.42617674212534684
olive_oil_3class,palmitoleic,0.34770563135186827
olive_oil_3class,eicosenoic,0.2611920000914459
olive_oil_3class,arachidic,0.09452416825681172
olive_oil_3class,oleic,0.08553590312532489
olive_oil_9class,linolenic,0.809041263957043
olive_oil_9class,linoleic,0.6851214128184062
olive_oil_9class,other,0.6469483111607918
olive_oil_9class,palmitoleic,0.4838610653565215
olive_oil_9class,stearic,0.46828956066713157
olive_oil_9class,eicosenoic,0.41306905795492116
olive_oil_9class,oleic,0.3187840675539591
olive_oil_9class,arachidic,0.29834465603559834
