block,dataset,feature_set,model_name,seed,n_features,n_test,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_gap,train_val_gap,fit_seconds,predict_seconds_test,predict_us_per_sample,n_features_baseline,feature_reduction_ratio
cuantico,customer_churn,qfs_oracle,xgboost,233,10,66125,0.9991091920557886,0.9992455381383969,0.9991377826701863,-2.859061439763888e-05,-0.00013634608260826298,0.42436907161027193,0.021085388958454132,0.3188716666684935,10,0.0
cuantico,madelon,qfs_na,logistic_regression,20260607,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.002393903210759163,0.0005401177331805229,1.8003924439350765,500,0.98
cuantico,madelon,qfs_na,logistic_regression,1,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0019940705969929695,0.0005455631762742996,1.8185439209143321,500,0.98
cuantico,madelon,qfs_na,logistic_regression,7,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0020204242318868637,0.000546691007912159,1.8223033597071967,500,0.98
cuantico,madelon,qfs_na,logistic_regression,13,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0019909562543034554,0.0005420288071036339,1.8067626903454463,500,0.98
cuantico,madelon,qfs_na,logistic_regression,21,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.002007720060646534,0.0005417698994278908,1.805899664759636,500,0.98
cuantico,madelon,qfs_na,logistic_regression,34,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0020003123208880424,0.0005411505699157715,1.8038352330525715,500,0.98
cuantico,madelon,qfs_na,logistic_regression,55,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0020245295017957687,0.0005476828664541245,1.8256095548470814,500,0.98
cuantico,madelon,qfs_na,logistic_regression,89,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0019987178966403008,0.0005460018292069435,1.8200060973564784,500,0.98
cuantico,madelon,qfs_na,logistic_regression,144,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0019861767068505287,0.0005433959886431694,1.811319962143898,500,0.98
